#h	k	l			DE/EP	Eback-scattering (eV)					
1	1	1	3		0.0002986929	1897.9461394366
1	1	-1	3		0.0002986929	1897.9461394366
1	-1	1	3		0.0002986929	1897.9461394366
1	-1	-1	3		0.0002986929	1897.9461394366
-1	1	1	3		0.0002986929	1897.9461394366
-1	1	-1	3		0.0002986929	1897.9461394366
-1	-1	1	3		0.0002986929	1897.9461394366
-1	-1	-1	3		0.0002986929	1897.9461394366
0	2	2	8		0.0001267992	3099.3330672698
0	2	-2	8		0.0001267992	3099.3330672698
0	-2	2	8		0.0001267992	3099.3330672698
0	-2	-2	8		0.0001267992	3099.3330672698
2	0	2	8		0.0001267992	3099.3330672698
2	0	-2	8		0.0001267992	3099.3330672698
-2	0	2	8		0.0001267992	3099.3330672698
-2	0	-2	8		0.0001267992	3099.3330672698
2	2	0	8		0.0001267992	3099.3330672698
2	-2	0	8		0.0001267992	3099.3330672698
-2	2	0	8		0.0001267992	3099.3330672698
-2	-2	0	8		0.0001267992	3099.3330672698
1	1	3	11		7.09911728392505E-05	3634.2901659161
1	1	-3	11		7.09911728392505E-05	3634.2901659161
1	-1	3	11		7.09911728392505E-05	3634.2901659161
1	-1	-3	11		7.09911728392505E-05	3634.2901659161
-1	1	3	11		7.09911728392505E-05	3634.2901659161
-1	1	-3	11		7.09911728392505E-05	3634.2901659161
-1	-1	3	11		7.09911728392505E-05	3634.2901659161
-1	-1	-3	11		7.09911728392505E-05	3634.2901659161
1	3	1	11		7.09911728392505E-05	3634.2901659161
1	3	-1	11		7.09911728392505E-05	3634.2901659161
1	-3	1	11		7.09911728392505E-05	3634.2901659161
1	-3	-1	11		7.09911728392505E-05	3634.2901659161
-1	3	1	11		7.09911728392505E-05	3634.2901659161
-1	3	-1	11		7.09911728392505E-05	3634.2901659161
-1	-3	1	11		7.09911728392505E-05	3634.2901659161
-1	-3	-1	11		7.09911728392505E-05	3634.2901659161
3	1	1	11		7.09911728392505E-05	3634.2901659161
3	1	-1	11		7.09911728392505E-05	3634.2901659161
3	-1	1	11		7.09911728392505E-05	3634.2901659161
3	-1	-1	11		7.09911728392505E-05	3634.2901659161
-3	1	1	11		7.09911728392505E-05	3634.2901659161
-3	1	-1	11		7.09911728392505E-05	3634.2901659161
-3	-1	1	11		7.09911728392505E-05	3634.2901659161
-3	-1	-1	11		7.09911728392505E-05	3634.2901659161
0	0	4	16		6.2058323978022E-05	4383.1188580444
0	0	-4	16		6.2058323978022E-05	4383.1188580444
0	4	0	16		6.2058323978022E-05	4383.1188580444
0	-4	0	16		6.2058323978022E-05	4383.1188580444
4	0	0	16		6.2058323978022E-05	4383.1188580444
-4	0	0	16		6.2058323978022E-05	4383.1188580444
1	3	3	19		3.49650639549544E-05	4776.3930399357
1	3	-3	19		3.49650639549544E-05	4776.3930399357
1	-3	3	19		3.49650639549544E-05	4776.3930399357
1	-3	-3	19		3.49650639549544E-05	4776.3930399357
-1	3	3	19		3.49650639549544E-05	4776.3930399357
-1	3	-3	19		3.49650639549544E-05	4776.3930399357
-1	-3	3	19		3.49650639549544E-05	4776.3930399357
-1	-3	-3	19		3.49650639549544E-05	4776.3930399357
3	1	3	19		3.49650639549544E-05	4776.3930399357
3	1	-3	19		3.49650639549544E-05	4776.3930399357
3	-1	3	19		3.49650639549544E-05	4776.3930399357
3	-1	-3	19		3.49650639549544E-05	4776.3930399357
-3	1	3	19		3.49650639549544E-05	4776.3930399357
-3	1	-3	19		3.49650639549544E-05	4776.3930399357
-3	-1	3	19		3.49650639549544E-05	4776.3930399357
-3	-1	-3	19		3.49650639549544E-05	4776.3930399357
3	3	1	19		3.49650639549544E-05	4776.3930399357
3	3	-1	19		3.49650639549544E-05	4776.3930399357
3	-3	1	19		3.49650639549544E-05	4776.3930399357
3	-3	-1	19		3.49650639549544E-05	4776.3930399357
-3	3	1	19		3.49650639549544E-05	4776.3930399357
-3	3	-1	19		3.49650639549544E-05	4776.3930399357
-3	-3	1	19		3.49650639549544E-05	4776.3930399357
-3	-3	-1	19		3.49650639549544E-05	4776.3930399357
2	2	4	24		3.48365031716484E-05	5368.2023420896
2	2	-4	24		3.48365031716484E-05	5368.2023420896
2	-2	4	24		3.48365031716484E-05	5368.2023420896
2	-2	-4	24		3.48365031716484E-05	5368.2023420896
-2	2	4	24		3.48365031716484E-05	5368.2023420896
-2	2	-4	24		3.48365031716484E-05	5368.2023420896
-2	-2	4	24		3.48365031716484E-05	5368.2023420896
-2	-2	-4	24		3.48365031716484E-05	5368.2023420896
2	4	2	24		3.48365031716484E-05	5368.2023420896
2	4	-2	24		3.48365031716484E-05	5368.2023420896
2	-4	2	24		3.48365031716484E-05	5368.2023420896
2	-4	-2	24		3.48365031716484E-05	5368.2023420896
-2	4	2	24		3.48365031716484E-05	5368.2023420896
-2	4	-2	24		3.48365031716484E-05	5368.2023420896
-2	-4	2	24		3.48365031716484E-05	5368.2023420896
-2	-4	-2	24		3.48365031716484E-05	5368.2023420896
4	2	2	24		3.48365031716484E-05	5368.2023420896
4	2	-2	24		3.48365031716484E-05	5368.2023420896
4	-2	2	24		3.48365031716484E-05	5368.2023420896
4	-2	-2	24		3.48365031716484E-05	5368.2023420896
-4	2	2	24		3.48365031716484E-05	5368.2023420896
-4	2	-2	24		3.48365031716484E-05	5368.2023420896
-4	-2	2	24		3.48365031716484E-05	5368.2023420896
-4	-2	-2	24		3.48365031716484E-05	5368.2023420896
1	1	5	27		2.12521907781345E-05	5693.8384183096
1	1	-5	27		2.12521907781345E-05	5693.8384183096
1	-1	5	27		2.12521907781345E-05	5693.8384183096
1	-1	-5	27		2.12521907781345E-05	5693.8384183096
-1	1	5	27		2.12521907781345E-05	5693.8384183096
-1	1	-5	27		2.12521907781345E-05	5693.8384183096
-1	-1	5	27		2.12521907781345E-05	5693.8384183096
-1	-1	-5	27		2.12521907781345E-05	5693.8384183096
1	5	1	27		2.12521907781345E-05	5693.8384183096
1	5	-1	27		2.12521907781345E-05	5693.8384183096
1	-5	1	27		2.12521907781345E-05	5693.8384183096
1	-5	-1	27		2.12521907781345E-05	5693.8384183096
-1	5	1	27		2.12521907781345E-05	5693.8384183096
-1	5	-1	27		2.12521907781345E-05	5693.8384183096
-1	-5	1	27		2.12521907781345E-05	5693.8384183096
-1	-5	-1	27		2.12521907781345E-05	5693.8384183096
3	3	3	27		2.12521907781345E-05	5693.8384183096
3	3	-3	27		2.12521907781345E-05	5693.8384183096
3	-3	3	27		2.12521907781345E-05	5693.8384183096
3	-3	-3	27		2.12521907781345E-05	5693.8384183096
-3	3	3	27		2.12521907781345E-05	5693.8384183096
-3	3	-3	27		2.12521907781345E-05	5693.8384183096
-3	-3	3	27		2.12521907781345E-05	5693.8384183096
-3	-3	-3	27		2.12521907781345E-05	5693.8384183096
5	1	1	27		2.12521907781345E-05	5693.8384183096
5	1	-1	27		2.12521907781345E-05	5693.8384183096
5	-1	1	27		2.12521907781345E-05	5693.8384183096
5	-1	-1	27		2.12521907781345E-05	5693.8384183096
-5	1	1	27		2.12521907781345E-05	5693.8384183096
-5	1	-1	27		2.12521907781345E-05	5693.8384183096
-5	-1	1	27		2.12521907781345E-05	5693.8384183096
-5	-1	-1	27		2.12521907781345E-05	5693.8384183096
0	4	4	32		2.29095010143859E-05	6198.6661345397
0	4	-4	32		2.29095010143859E-05	6198.6661345397
0	-4	4	32		2.29095010143859E-05	6198.6661345397
0	-4	-4	32		2.29095010143859E-05	6198.6661345397
4	0	4	32		2.29095010143859E-05	6198.6661345397
4	0	-4	32		2.29095010143859E-05	6198.6661345397
-4	0	4	32		2.29095010143859E-05	6198.6661345397
-4	0	-4	32		2.29095010143859E-05	6198.6661345397
4	4	0	32		2.29095010143859E-05	6198.6661345397
4	-4	0	32		2.29095010143859E-05	6198.6661345397
-4	4	0	32		2.29095010143859E-05	6198.6661345397
-4	-4	0	32		2.29095010143859E-05	6198.6661345397
1	3	5	35		1.43004247705923E-05	6482.7202157498
1	3	-5	35		1.43004247705923E-05	6482.7202157498
1	-3	5	35		1.43004247705923E-05	6482.7202157498
1	-3	-5	35		1.43004247705923E-05	6482.7202157498
-1	3	5	35		1.43004247705923E-05	6482.7202157498
-1	3	-5	35		1.43004247705923E-05	6482.7202157498
-1	-3	5	35		1.43004247705923E-05	6482.7202157498
-1	-3	-5	35		1.43004247705923E-05	6482.7202157498
1	5	3	35		1.43004247705923E-05	6482.7202157498
1	5	-3	35		1.43004247705923E-05	6482.7202157498
