#E (eV)	 f2
1000	3.2583814624
1038	3.1025391596
1076	2.9581928816
1114	2.8263869557
1152	2.7040254385
1190	2.589421271
1228	16.7700031606
1266	16.4270766261
1304	16.1056775273
1342	15.7993841026
1380	15.5078036632
1418	15.2301471301
1456	14.9562400855
1494	14.6416441004
1532	14.1542157155
1570	13.6796917811
1608	13.2333669076
1646	12.8099241905
1684	12.4111511496
1722	12.0317365647
1760	11.6543195752
1798	11.2929184185
1836	10.9439900333
1874	10.6151714487
1912	10.301806625
1950	10.0029361078
1988	9.718426484
2026	9.4541065214
2064	9.1877776163
2102	8.9337532141
2140	8.6881704252
2178	8.4543962281
2216	8.2265554045
2254	8.0134746138
2292	7.8020935222
2330	7.6021090893
2368	7.4103129877
2406	7.2245451527
2444	7.0458084424
2482	6.8736104511
2520	6.7071187723
2558	6.5481245455
2596	6.3944045771
2634	6.2459933716
2672	6.1014542137
2710	5.9623706831
2748	5.8294444446
2786	5.6989528267
2824	5.5752347046
2862	5.45334597
2900	5.3366855369
2938	5.2243825577
2976	5.1139843854
3014	5.0075584567
3052	4.9060319014
3090	4.806106945
3128	4.7090962483
3166	4.6165572444
3204	4.5268228404
3242	4.4374080027
3280	4.3493523913
3318	4.2688667741
3356	4.1895609865
3394	4.1118242763
3432	4.0358780387
3470	3.9618287367
3508	3.8897054283
3546	3.8194860783
3584	3.7511158543
3622	3.6845197613
3660	3.6196113051
3698	3.5586050132
3736	3.4966365686
3774	3.438104612
3812	3.3806531032
3850	3.3242296476
3888	3.2687806383
3926	3.2158311908
3964	3.1635796642
4002	3.1119959359
4040	3.0623958012
4078	3.0141683396
4116	2.9670496383
4154	2.9209321015
4192	2.875944764
4230	2.8320829395
4268	2.78913152
4306	2.7473017419
4344	2.7063876426
4382	2.6663943002
4420	2.6273237644
4458	2.5891758792
4496	2.5517817234
4534	2.5152348968
4572	2.4795382119
4610	2.4445404981
4648	2.4104040697
4686	2.3769839935
4724	2.3442205558
4762	2.3121974712
4800	2.2808560207
4838	2.2501430366
4876	2.2200744961
4914	2.1906023614
4952	2.1617444794
4990	2.1334572454
5028	2.1057008288
5066	2.0785550489
5104	2.0519231337
5142	2.0258839566
5180	2.0002908213
5218	1.9752243574
5256	1.9505466812
5294	1.9263921822
5332	1.9027320836
5370	1.8795398339
5408	1.8567403536
5446	1.8344126632
5484	1.8124352148
5522	1.7908876018
5560	1.7697017707
5598	1.7489083996
5636	1.7285372701
5674	1.7084776567
5712	1.6888082591
5750	1.6695137498
5788	1.650489347
5826	1.6318138525
5864	1.6134747265
5902	1.5954602565
5940	1.5777594947
5978	1.5603622011
6016	1.543215716
6054	1.5263975244
6092	1.5098558204
6130	1.4935827227
6168	1.4775708409
6206	1.4618549097
6244	1.4463448439
6282	1.4311176498
6320	1.4161669249
6358	1.401405176
6396	1.3869091148
6434	1.3726330893
6472	1.3585325338
6510	1.3446838288
6548	1.3310427497
6586	1.3176056644
6624	1.3044086704
6662	1.2914087823
6700	1.2786422517
6738	1.2660277373
6776	1.2536020031
6814	1.2414014678
6852	1.2293460826
6890	1.217434088
6928	1.2057408664
6966	1.1941874628
7004	1.1828491247
7042	1.1716475485
7080	1.1605815508
7118	1.149726196
7156	1.1390040238
7194	1.1284141311
7232	1.1179935667
7270	1.1077035834
7308	1.0975812712
7346	1.0875881646
7384	1.0777237379
7422	1.0680251438
7460	1.0584167066
7498	1.0489732789
7536	1.0396569658
7574	1.0304675417
7612	1.0213673876
7650	1.0124312954
7688	1.0035843178
7726	0.9948638636
7764	0.9862699419
7802	0.9777652545
7840	0.9693872702
7878	0.9610987866
7916	0.9529373177
7954	0.9448657426
7992	0.9369216274
8030	0.9290679194
8068	0.9213049152
8106	0.9136329336
8144	0.9060523156
8182	0.8986007744
8220	0.8912040025
8258	0.8839371218
8296	0.8767258172
8334	0.8696078951
8372	0.8625838178
8410	0.8556540667
8448	0.8488191414
8486	0.8420420602
8524	0.8353232798
8562	0.8287008181
8600	0.8221752357
8638	0.8157094961
8676	0.8093417424
8714	0.8030349003
8752	0.7967894859
8790	0.7906437752
8828	0.7845606228
8866	0.7785405709
8904	0.7725841691
8942	0.7666919742
8980	0.7609025065
9018	0.755140469
9056	0.7494443533
