# h	k	l			DE/EP	Eback-scattering (eV)					
1	1	1	3		0.0001102554	1977.0657882483
1	1	-1	3		0.0001102554	1977.0657882483
1	-1	1	3		0.0001102554	1977.0657882483
1	-1	-1	3		0.0001102554	1977.0657882483
-1	1	1	3		0.0001102554	1977.0657882483
-1	1	-1	3		0.0001102554	1977.0657882483
-1	-1	1	3		0.0001102554	1977.0657882483
-1	-1	-1	3		0.0001102554	1977.0657882483
0	2	2	8		5.51320655799513E-05	3228.5349127478
0	2	-2	8		5.51320655799513E-05	3228.5349127478
0	-2	2	8		5.51320655799513E-05	3228.5349127478
0	-2	-2	8		5.51320655799513E-05	3228.5349127478
2	0	2	8		5.51320655799513E-05	3228.5349127478
2	0	-2	8		5.51320655799513E-05	3228.5349127478
-2	0	2	8		5.51320655799513E-05	3228.5349127478
-2	0	-2	8		5.51320655799513E-05	3228.5349127478
2	2	0	8		5.51320655799513E-05	3228.5349127478
2	-2	0	8		5.51320655799513E-05	3228.5349127478
-2	2	0	8		5.51320655799513E-05	3228.5349127478
-2	-2	0	8		5.51320655799513E-05	3228.5349127478
1	1	3	11		2.79991121534365E-05	3785.7927589731
1	1	-3	11		2.79991121534365E-05	3785.7927589731
1	-1	3	11		2.79991121534365E-05	3785.7927589731
1	-1	-3	11		2.79991121534365E-05	3785.7927589731
-1	1	3	11		2.79991121534365E-05	3785.7927589731
-1	1	-3	11		2.79991121534365E-05	3785.7927589731
-1	-1	3	11		2.79991121534365E-05	3785.7927589731
-1	-1	-3	11		2.79991121534365E-05	3785.7927589731
1	3	1	11		2.79991121534365E-05	3785.7927589731
1	3	-1	11		2.79991121534365E-05	3785.7927589731
1	-3	1	11		2.79991121534365E-05	3785.7927589731
1	-3	-1	11		2.79991121534365E-05	3785.7927589731
-1	3	1	11		2.79991121534365E-05	3785.7927589731
-1	3	-1	11		2.79991121534365E-05	3785.7927589731
-1	-3	1	11		2.79991121534365E-05	3785.7927589731
-1	-3	-1	11		2.79991121534365E-05	3785.7927589731
3	1	1	11		2.79991121534365E-05	3785.7927589731
3	1	-1	11		2.79991121534365E-05	3785.7927589731
3	-1	1	11		2.79991121534365E-05	3785.7927589731
3	-1	-1	11		2.79991121534365E-05	3785.7927589731
-3	1	1	11		2.79991121534365E-05	3785.7927589731
-3	1	-1	11		2.79991121534365E-05	3785.7927589731
-3	-1	1	11		2.79991121534365E-05	3785.7927589731
-3	-1	-1	11		2.79991121534365E-05	3785.7927589731
0	0	4	16		2.38729403617965E-05	4565.8378602029
0	0	-4	16		2.38729403617965E-05	4565.8378602029
0	4	0	16		2.38729403617965E-05	4565.8378602029
0	-4	0	16		2.38729403617965E-05	4565.8378602029
4	0	0	16		2.38729403617965E-05	4565.8378602029
-4	0	0	16		2.38729403617965E-05	4565.8378602029
1	3	3	19		0.000014069	4975.5064563041
1	3	-3	19		0.000014069	4975.5064563041
1	-3	3	19		0.000014069	4975.5064563041
1	-3	-3	19		0.000014069	4975.5064563041
-1	3	3	19		0.000014069	4975.5064563041
-1	3	-3	19		0.000014069	4975.5064563041
-1	-3	3	19		0.000014069	4975.5064563041
-1	-3	-3	19		0.000014069	4975.5064563041
3	1	3	19		0.000014069	4975.5064563041
3	1	-3	19		0.000014069	4975.5064563041
3	-1	3	19		0.000014069	4975.5064563041
3	-1	-3	19		0.000014069	4975.5064563041
-3	1	3	19		0.000014069	4975.5064563041
-3	1	-3	19		0.000014069	4975.5064563041
-3	-1	3	19		0.000014069	4975.5064563041
-3	-1	-3	19		0.000014069	4975.5064563041
3	3	1	19		0.000014069	4975.5064563041
3	3	-1	19		0.000014069	4975.5064563041
3	-3	1	19		0.000014069	4975.5064563041
3	-3	-1	19		0.000014069	4975.5064563041
-3	3	1	19		0.000014069	4975.5064563041
-3	3	-1	19		0.000014069	4975.5064563041
