# E (eV)	f2
1000	1.0663101137
1038	0.9924045539
1076	0.9259901226
1114	0.8707365355
1152	0.8238744885
1190	0.7808935113
1228	0.7412681741
1266	0.7047003815
1304	0.670860422
1342	0.6393149771
1380	0.6100248989
1418	0.5827079769
1456	0.5571781627
1494	0.5333494223
1532	0.5101005622
1570	0.4882480512
1608	0.467810936
1646	0.4486758096
1684	0.430729185
1722	0.4138782027
1760	0.3974463656
1798	0.3817037742
1836	0.366815963
1874	4.0373309194
1912	3.9260261386
1950	3.8198347311
1988	3.7183870685
2026	3.6207623182
2064	3.5268692524
2102	3.435165422
2140	3.3455925232
2178	3.2591516056
2216	3.1754998592
2254	3.0948862713
2292	3.0169333224
2330	2.9415666807
2368	2.8688352851
2406	2.7984236222
2444	2.7304603629
2482	2.6647236408
2520	2.6011531651
2558	2.5397909708
2596	2.4803246848
2634	2.4228508217
2672	2.3672962647
2710	2.3134621428
2748	2.2612931125
2786	2.2108874802
2824	2.1620842387
2862	2.1147248118
2900	2.0688784671
2938	2.0244109621
2976	1.9813149824
3014	1.9395419301
3052	1.8991005542
3090	1.8597808859
3128	1.8216476754
3166	1.7846780519
3204	1.7487223149
3242	1.7137707082
3280	1.6799228318
3318	1.6470417269
3356	1.6150099072
3394	1.583924633
3432	1.5536756143
3470	1.5243056275
3508	1.4957172296
3546	1.4679116988
3584	1.4408901632
3622	1.4145321504
3660	1.3888891704
3698	1.3639309152
3736	1.3396310403
3774	1.3159667198
3812	1.2928825688
3850	1.2703989901
3888	1.2485014994
3926	1.2271444369
3964	1.206319672
4002	1.1860207632
4040	1.1662111314
4078	1.1468889285
4116	1.128022784
4154	1.1096145032
4192	1.0916667757
4230	1.0741243641
4268	1.0570229425
4306	1.0402826707
4344	1.0239416873
4382	1.0080091689
4420	0.9924116206
4458	0.9771616443
4496	0.9622720222
4534	0.9477019165
4572	0.9334659777
4610	0.9195260362
4648	0.9059245238
4686	0.8925727892
4724	0.8795406026
4762	0.8667677036
4800	0.8542981211
4838	0.842073612
4876	0.830113525
4914	0.818412033
4952	0.8069387936
4990	0.7957142068
5028	0.7847338354
5066	0.7739442463
5104	0.7633669541
5142	0.7529988814
5180	0.7428616892
5218	0.7329282835
5256	0.7231964382
5294	0.7136399324
5332	0.704281367
5370	0.695095062
5408	0.6860798143
5446	0.677258627
5484	0.6685825044
5522	0.6600748005
5560	0.6517109931
5598	0.6435385319
5636	0.6354853544
5674	0.6275991155
5712	0.6198558623
5750	0.6122556456
5788	0.6047747735
5826	0.5974611422
5864	0.5902435731
5902	0.5831939245
5940	0.5762411756
5978	0.5694096565
6016	0.5626999304
6054	0.5561126151
6092	0.54962452
6130	0.5432601989
6168	0.5370204172
6206	0.5308820763
6244	0.5248220391
6282	0.5188889819
6320	0.5130598561
6358	0.5073115484
6396	0.5016449003
6434	0.4960848438
6472	0.4906082566
6510	0.4852401823
6548	0.4799574841
6586	0.4747611139
6624	0.4696277954
6662	0.4645826866
6700	0.4596267926
6738	0.4547611376
6776	0.4499379308
6814	0.4452068844
6852	0.4405445608
6890	0.4359764627
6928	0.4314544812
6966	0.4270287493
7004	0.4226509822
7042	0.4183220138
7080	0.4140923116
7118	0.4099133074
7156	0.4057858545
7194	0.4017357928
7232	0.3977391184
7270	0.393796702
7308	0.3899094194
7346	0.3861033694
7384	0.3823290636
7422	0.3786125513
7460	0.3749547296
7498	0.3713310334
7536	0.3677932422
7574	0.3642656705
7612	0.360825833
7650	0.35742339
7688	0.3540590684
7726	0.3507335964
7764	0.3474736385
7802	0.3442541312
7840	0.3410758104
7878	0.337939414
7916	0.3348456823
7954	0.3317953578
7992	0.3287891852
8030	0.3258014785
8068	0.3228857804
8106	0.3199899019
8144	0.3171410296
8182	0.3143399193
8220	0.3115605231
8258	0.3088033737
8296	0.3061229228
8334	0.3034390556
8372	0.3008063035
8410	0.2981982423
8448	0.2956426788
8486	0.2931130358
8524	0.2906098507
8562	0.2881336615
8600	0.2856850067
8638	0.2832920957
8676	0.2809002081
8714	0.2785653073
8752	0.2762323495
8790	0.2739296283
8828	0.2716857659
8866	0.269445229
8904	0.267236559
8942	0.2650603012
8980	0.2628885876
9018	0.2607787088
9056	0.2586743001
9094	0.2565756556
9132	0.2545405749
9170	0.2525121865
9208	0.2504907842
9246	0.2485056717
9284	0.2465574009
9322	0.2446173404
9360	0.2427150546
9398	0.2408217392
9436	0.2389671334
9474	0.2370927247
9512	0.2352874087
9550	0.2334628753
9588	0.2316787503
9626	0.2299355924
9664	0.2281740065
9702	0.2264541512
9740	0.224746431
9778	0.2230511387
9816	0.2213989032
9854	0.2197598611
9892	0.2181037881
9930	0.2164919213
9968	0.2148941269
10006	0.2133414881
10044	0.2117728086
10082	0.2102190807
10120	0.2087116627
10158	0.2071888093
10196	0.2056817871
10234	0.2042222314
10272	0.2027478446
10310	0.2013216969
10348	0.1998811207
10386	0.1984578442
10424	0.1970521617
10462	0.1956643673
10500	0.1942947555
10538	0.192943621
10576	0.1916112586
10614	0.1902656879
10652	0.1889392911
10690	0.1876323632
10728	0.1863451995
10766	0.1850780955
10804	0.1838313471
10842	0.1825724067
10880	0.1813342237
10918	0.1801170943
10956	0.1788881852
10994	0.1776807315
11032	0.1764950297
11070	0.1753313766
11108	0.1741565564
11146	0.1730041872
11184	0.1718745661
11222	0.170734189
11260	0.1696169625
11298	0.1684891894
11336	0.1674190611
11374	0.1663046001
11412	0.1652483803
11450	0.1641822257
11488	0.1631061434
11526	0.1620547179
11564	0.161028248
11602	0.1599922603
11640	0.1589816317
11678	0.1579966618
11716	0.1569675179
11754	0.1559994047
11792	0.1550223919
11830	0.1540364852
11868	0.1530771489
11906	0.1521446838
11944	0.1512037346
11982	0.1502543065
12020	0.1493322579
12058	0.1484019379
12096	0.1474994023
12134	0.1465888024
12172	0.1457063923
12210	0.1448161252
12248	0.1439544533
12286	0.1430851318
12324	0.1422081649
12362	0.1413603027
12400	0.1405050022
12438	0.1396792126
12476	0.1388461918
12514	0.1380430887
12552	0.1371957163
12590	0.1364158138
12628	0.1355916491
12666	0.1347980162
12704	0.134035219
12742	0.1332280695
12780	0.1324519627
12818	0.1317072029
12856	0.1309560474
12894	0.130198499
12932	0.1294345607
12970	0.1287025849
13008	0.1279644263
13046	0.1272200875
13084	0.1265082236
13122	0.1257903866
13160	0.1250665792
13198	0.1243757595
13236	0.1236791765
13274	0.1229768327
13312	0.1223079899
13350	0.1216335936
13388	0.1209536459
13426	0.1202681491
13464	0.1196167711
13502	0.1189600512
13540	0.1182979916
13578	0.1176705653
13616	0.1169979338
13654	0.1163601431
13692	0.1157575007
13730	0.1151095569
13768	0.114496969
13806	0.1138794621
13844	0.1132570379
13882	0.1126704855
13920	0.1120383338
13958	0.1114422616
13996	0.1108825775
14034	0.1102771965
14072	0.1097084116
14110	0.1091351298
14148	0.1085573526
14186	0.1079750814
14224	0.1073883175
14262	0.1068388748
14300	0.1062851475
14338	0.105727137
14376	0.1052069655
14414	0.104640495
14452	0.1041120719
14490	0.1035795763
14528	0.1030430094
14566	0.1025023723
14604	0.1020004053
14642	0.1014945767
14680	0.100941942
14718	0.1004713389
14756	0.0999539318
14794	0.0994326674
14832	0.0989509053
14870	0.0984654945
14908	0.0979764359
14946	0.0974837306
14984	0.0969873794
15022	0.0964873833
15060	0.0960277229
15098	0.0955646266
15136	0.0950980951
15174	0.0946281294
15212	0.0941547301
15250	0.0936778982
15288	0.0932422368
15326	0.0927586457
15364	0.0923164341
15402	0.0918710007
15440	0.0914223461
15478	0.091015593
15516	0.0905606021
15554	0.0901477223
15592	0.0896863979
15630	0.089267394
15668	0.0888453812
15706	0.0884203602
15744	0.0879923314
15782	0.0876072509
15820	0.0871733128
15858	0.0867825328
15896	0.0863426878
15934	0.0859462106
15972	0.0855469379
16010	0.0851448703
16048	0.0847400082
16086	0.0843791426
16124	0.0839687978
16162	0.0836026595
16200	0.0831868339
16238	0.082815425
16276	0.0824414339
16314	0.0820648609
16352	0.0816857067
16390	0.0813039716
16428	0.0809673883
16466	0.0805805975
16504	0.0801912272
16542	0.0798473242
16580	0.0795010522
16618	0.0791524115
16656	0.0788014025
16694	0.0784480257
16732	0.0780922814
16770	0.07773417
16808	0.077373692
16846	0.0770597336
16884	0.0766946281
16922	0.0763762532
16960	0.0760557231
16998	0.0756837317
17036	0.0753587872
17074	0.0750316885
17112	0.074702436
17150	0.07437103
17188	0.0740873032
17226	0.0737516963
17264	0.0734139369
17302	0.0731241734
17340	0.072782215
17378	0.0724884636
17416	0.0721927715
17454	0.0718445693
17492	0.0715448911
17530	0.0712432729
17568	0.070939715
17606	0.0706342178
17644	0.0703267814
17682	0.0700686083
17720	0.0697573998
17758	0.0694442529
17796	0.0691806866
17834	0.0688637691
17872	0.0685966438
17910	0.0683277922
17948	0.0680572145
17986	0.0677328638
18024	0.0674587289
18062	0.0671828685
18100	0.0669052829
18138	0.0666259723
18176	0.0663449369
18214	0.0661148581
18252	0.0658304793
18290	0.0655443763
18328	0.065309548
18366	0.0650201028
18404	0.0647821444
18442	0.0644893578
18480	0.0642482699
18518	0.0640056707
18556	0.0637079261
18594	0.0634621984
18632	0.0632149599
18670	0.0629662105
18708	0.0627159506
18746	0.0624641802
18784	0.0622108996
18822	0.0619561088
18860	0.06175429
18898	0.0614965853
18936	0.061237371
18974	0.0610314473
19012	0.0607693201
19050	0.0605056836
19088	0.0602956563
19126	0.0600843323
19164	0.0598163808
19202	0.0596023575
19240	0.0593870378
19278	0.0591147725
19316	0.0588967543
19354	0.0586774401
19392	0.05845683
19430	0.0582349243
19468	0.0580117229
19506	0.0577872261
19544	0.0575614339
19582	0.0573343464
19620	0.0571625696
19658	0.0569329982
19696	0.0567021319
19734	0.0564699707
19772	0.056293546
19810	0.0560589018
19848	0.0558802071
19886	0.0556430802
19924	0.0554621158
19962	0.0552225067
20000	0.055039273

